Oral commisure (L) x,Oral commisure (L) y,Oral commisure (R) x,Oral commisure (R) y,Dental show (Top) x,Dental show (Top) y,Dental show (Bottom) x,Dental show (Bottom) y
1209.16333186 741.255547274 1150.83990633 739.919896307 1184.67639747 743.036415228 1184.67639747 743.036415228
1210.02903182 741.197188627 1150.77202531 739.956353601 1184.77952137 743.260431108 1184.77952137 743.260431108
1210.89473179 741.138829981 1150.70414429 739.992810894 1184.88264527 743.484446987 1184.88264527 743.484446987
1211.76043175 741.080471335 1150.63626326 740.029268187 1184.98576917 743.708462866 1184.98576917 743.708462866
1212.62613172 741.022112689 1150.56838224 740.06572548 1185.08889307 743.932478745 1185.08889307 743.932478745
1213.49183168 740.963754043 1150.50050122 740.102182773 1185.19201697 744.156494624 1185.19201697 744.156494624
1214.35753165 740.905395396 1150.4326202 740.138640067 1185.29514087 744.380510503 1185.29514087 744.380510503
1215.22323161 740.84703675 1150.36473918 740.17509736 1185.39826477 744.604526382 1185.39826477 744.604526382
1216.08893158 740.788678104 1150.29685815 740.211554653 1185.50138867 744.828542262 1185.50138867 744.828542262
1224.09646947 715.115865323 1131.31277618 712.896159742 1183.04978268 727.767475859 1183.04978268 741.973591577
1224.11985371 714.955719921 1131.32405293 712.83287422 1183.23701165 727.611430947 1183.13208012 741.47046543
1224.14323794 714.79557452 1131.33532968 712.769588699 1183.42424063 727.455386036 1183.21437755 740.967339282
1224.16662218 714.635429119 1131.34660643 712.706303177 1183.6114696 727.299341124 1183.29667499 740.464213134
1224.19000641 714.475283718 1131.35788318 712.643017656 1183.79869857 727.143296213 1183.37897243 739.961086986
1224.21339065 714.315138316 1131.36915993 712.579732135 1183.98592755 726.987251301 1183.46126986 739.457960838
1224.23677488 714.154992915 1131.38043668 712.516446613 1184.17315652 726.83120639 1183.5435673 738.954834691
1224.26015912 713.994847514 1131.39171343 712.453161092 1184.36038549 726.675161478 1183.62586474 738.451708543
1224.28354335 713.834702113 1131.40299018 712.389875571 1184.54761446 726.519116567 1183.70816217 737.948582395
1224.30692759 713.674556711 1131.41426693 712.326590049 1184.73484344 726.363071655 1183.79045961 737.445456247
1224.33031182 713.51441131 1131.42554368 712.263304528 1184.92207241 726.207026744 1183.87275705 736.942330099
1224.35369606 713.354265909 1131.43682043 712.200019007 1185.10930138 726.050981832 1183.95505448 736.439203952
1224.31490665 713.298054696 1131.49395957 712.186649664 1185.12204999 726.051305282 1184.07273462 736.544458938
1224.27611725 713.241843484 1131.5510987 712.173280322 1185.13479859 726.051628732 1184.19041476 736.649713924
1224.23732785 713.185632271 1131.60823783 712.159910979 1185.14754719 726.051952181 1184.3080949 736.75496891
1224.19853845 713.129421059 1131.66537696 712.146541636 1185.16029579 726.052275631 1184.42577504 736.860223896
1224.15974904 713.073209846 1131.72251609 712.133172294 1185.1730444 726.05259908 1184.54345518 736.965478882
1224.12095964 713.016998634 1131.77965523 712.119802951 1185.185793 726.05292253 1184.66113532 737.070733868
1224.08217024 712.960787421 1131.83679436 712.106433609 1185.1985416 726.053245979 1184.77881546 737.175988854
1224.04338083 712.904576208 1131.89393349 712.093064266 1185.2112902 726.053569429 1184.89649559 737.281243841
1224.00459143 712.848364996 1131.95107262 712.079694923 1185.22403881 726.053892878 1185.01417573 737.386498827
1223.96580203 712.792153783 1132.00821176 712.066325581 1185.23678741 726.054216328 1185.13185587 737.491753813
1223.92701263 712.735942571 1132.06535089 712.052956238 1185.24953601 726.054539778 1185.24953601 737.597008799
1224.14474129 712.793009393 1132.10170873 712.185910431 1184.95539998 725.978383852 1185.08364964 737.520852873
1224.36246995 712.850076216 1132.13806658 712.318864624 1184.66126395 725.902227926 1184.91776326 737.444696947
1224.58019861 712.907143038 1132.17442442 712.451818816 1184.36712792 725.826072 1184.75187689 737.368541022
1224.79792727 712.964209861 1132.21078227 712.584773009 1184.07299189 725.749916074 1184.58599051 737.292385096
1225.01565593 713.021276683 1132.24714011 712.717727202 1183.77885586 725.673760149 1184.42010414 737.21622917
1225.23338459 713.078343506 1132.28349796 712.850681395 1183.48471983 725.597604223 1184.25421777 737.140073244
1225.45111325 713.135410328 1132.31985581 712.983635588 1183.1905838 725.521448297 1184.08833139 737.063917318
1225.66884191 713.192477151 1132.35621365 713.11658978 1182.89644777 725.445292371 1183.92244502 736.987761393
1225.88657057 713.249543973 1132.3925715 713.249543973 1182.60231174 725.369136446 1183.75655864 736.911605467
