time,iris_delta,dental_show_delta,pfissure_r_delta,pfissure_l_delta,Oral commisure (L) x,Oral commisure (L) y,Oral commisure (R) x,Oral commisure (R) y,Lateral canthus (L) x,Lateral canthus (L) y,Lateral canthus (R) x,Lateral canthus (R) y,Palpebral fissure (RU) x,Palpebral fissure (RU) y,Palpebral fissure (RL) x,Palpebral fissure (RL) y,Palpebral fissure (LU) x,Palpebral fissure (LU) y,Palpebral fissure (LL) x,Palpebral fissure (LL) y,Depressor (L) x,Depressor (L) y,Depressor (R) x,Depressor (R) y,Depressor (M) x,Depressor (M) y,Iris (M) x,Iris (M) y,Iris (L) x,Iris (L) y,Nasal ala (L) x,Nasal ala (L) y,Nasal ala (R) x,Nasal ala (R) y,Medial brow (L) x,Medial brow (L) y,Medial brow (R) x,Medial brow (R) y,Malar eminence (L) x,Malar eminence (L) y,Malar eminence (R) x,Malar eminence (R) y,Dental show (Top) x,Dental show (Top) y,Dental show (Bottom) x,Dental show (Bottom) y
184.081,12.849009393505572,0.0,7.781685199765015,5.418789551665293,1108.40201031,660.049406051,1010.03970198,654.303154362,1120.9085581,582.982030453,1005.64550951,576.559749153,1021.53220536,572.841586295,1021.19419055,580.615926816,1106.37392148,577.573793569,1106.03590667,582.982030453,1091.16325524,666.133672545,1038.77096042,664.105583714,1062.43199679,669.851835403,1028.63051627,575.883719542,1015.78595367,576.221734348,1086.09303316,613.06534812,1039.78500484,609.009170457,1112.45818797,566.419304995,1013.75786484,560.335038501,1124.62672096,624.219836694,1007.33558354,622.191747862,1060.74192277,661.063450467,1060.74192277,661.063450467
184.115,13.02344331059598,3.8908426001649032,8.11939424712821,5.936948849949877,1105.60206519,658.871690121,1015.35211219,654.139482847,1120.30570922,582.142329328,1004.19762361,576.565085041,1021.43637868,572.677914781,1021.09836388,580.790270107,1106.2780948,576.903099846,1105.77107259,582.818358938,1091.91246558,666.646030642,1036.47803751,664.955956615,1064.19525155,671.547245318,1029.2107192,575.720048028,1016.1971492,576.227070236,1086.8422435,613.408698814,1040.36520778,608.169469332,1111.85533909,565.57960387,1015.35211219,559.833352181,1125.20692389,622.704105958,1005.54968283,619.323957906,1060.30808129,659.040697523,1060.47708869,662.927867784
184.149,13.19990012099484,7.781685199330638,8.45712772633693,6.4577637881427,1102.80212007,657.693974191,1020.6645224,653.975811333,1119.70286034,581.302628203,1002.74973772,576.570420929,1021.34055201,572.514243266,1021.0025372,580.964613398,1106.18226813,576.232406124,1105.50623851,582.654687424,1092.66167591,667.158388738,1034.18511461,665.806329517,1065.9585063,673.242655232,1029.79092214,575.556376514,1016.60834473,576.232406124,1087.59145384,613.752049507,1040.94541071,607.329768208,1111.2524902,564.739902745,1016.94635954,559.331665861,1125.78712683,621.188375223,1003.76378213,616.456167949,1059.87423981,657.01794458,1060.21225461,664.792285101
184.182,12.918598823481993,7.779441727115683,8.121934581051917,6.329948345960604,1102.94347743,657.108396824,1020.12985014,653.277562364,1119.78788189,581.055065641,1003.28544568,576.210186766,1021.31290196,572.154009103,1020.91855135,580.266364429,1106.04194648,576.041179363,1105.53492427,582.350789061,1092.85936907,666.741818773,1034.04479296,665.277087951,1065.76184885,672.769749467,1029.48159309,575.252478151,1016.58069469,575.928507762,1087.62013959,613.222807941,1041.03043227,606.800526641,1111.61919076,564.548675985,1016.80603789,559.140439101,1126.6608496,620.997148462,1002.77842347,616.208605388,1060.18460456,656.657710417,1060.46628357,664.432050937
184.217,12.6373143625904,7.777605679047736,7.787392938372972,6.206149834694158,1103.08483479,656.522819457,1019.59517789,652.579313395,1119.87290345,580.80750308,1003.82115364,575.849952603,1021.28525192,571.793774939,1020.83456551,579.56811546,1105.90162483,575.849952603,1105.56361003,582.046890699,1093.05706223,666.325248809,1033.90447131,664.747846385,1065.5651914,672.296843702,1029.17226404,574.948579789,1016.55304464,575.624609399,1087.64882535,612.693566375,1041.11545382,606.271285075,1111.98589133,564.357449224,1016.66571624,558.94921234,1127.53457237,620.805921701,1001.79306481,615.961042826,1060.49496932,656.297476253,1060.72031253,664.071816774
184.248,12.35604786768314,7.7761773411553206,7.4535905224178425,6.086613366336544,1103.22619214,655.93724209,1019.06050564,651.881064427,1119.957925,580.559940518,1004.35686161,575.489718439,1021.25760187,571.433540776,1020.75057966,578.869866492,1105.76130318,575.658725842,1105.59229578,581.742992336,1093.25475539,665.908678845,1033.76414966,664.218604819,1065.36853396,671.823937937,1028.86293499,574.644681426,1016.5253946,575.320711036,1087.6775111,612.164324809,1041.20047538,605.742043509,1112.35259189,564.166222463,1016.5253946,558.757985579,1128.40829514,620.614694941,1000.80770615,615.713480264,1060.80533408,655.93724209,1060.97434149,663.711582611
184.282,12.074800614910345,7.7751569391339315,7.120631293023755,5.971594892999974,1103.3675495,655.351664723,1018.52583338,651.182815458,1120.04294656,580.312377956,1004.89256957,575.129484276,1021.22995182,571.073306613,1020.66659382,578.171617523,1105.62098154,575.467499081,1105.62098154,581.439093974,1093.45244855,665.49210888,1033.62382802,663.689363252,1065.17187651,671.351032172,1028.55360594,574.340783063,1016.49774455,575.016812674,1087.70619686,611.635083243,1041.28549694,605.212801943,1112.71929245,563.974995702,1016.38507295,558.566758818,1129.2820179,620.42346818,999.822347492,615.465917703,1061.11569884,655.577007926,1061.22837045,663.351348447
184.315,11.793573960047093,7.774544633607225,6.788639322090235,5.861360390820292,1103.50890686,654.766087356,1017.99116113,650.484566489,1120.12796812,580.064815395,1005.42827753,574.769250112,1021.20230178,570.713072449,1020.58260797,577.473368554,1105.48065989,575.27627232,1105.64966729,581.135195611,1093.65014171,665.075538916,1033.48350637,663.160121686,1064.97521906,670.878126406,1028.24427689,574.036884701,1016.47009451,574.712914311,1087.73488261,611.105841677,1041.37051849,604.683560377,1113.08599301,563.783768942,1016.2447513,558.375532057,1130.15574067,620.232241419,998.836988831,615.218355141,1061.4260636,655.216773763,1061.48239941,662.991114284
184.348,11.51236943353791,7.77434052000001,6.4577637870958515,5.756184717033261,1103.65026422,654.180509989,1017.45648888,649.786317521,1120.21298967,579.817252833,1005.9639855,574.409015949,1021.17465173,570.352838286,1020.49862212,576.775119586,1105.34033824,575.085045559,1105.67835305,580.831297249,1093.84783486,664.658968952,1033.34318472,662.63088012,1064.77856161,670.405220641,1027.93494784,573.732986338,1016.44244446,574.409015949,1087.76356837,610.576600111,1041.45554005,604.154318811,1113.45269357,563.592542181,1016.10442965,558.184305297,1131.02946344,620.041014658,997.851630171,614.970792579,1061.73642836,654.8565396,1061.73642836,662.63088012
184.381,11.57196695241177,7.7436728712467655,6.638092902985214,5.722210067205392,1104.04469177,652.7765994,1017.94310228,648.413135551,1120.45377413,578.5055281,1006.20476996,573.189477072,1021.5998079,568.948927697,1020.95450691,575.555580709,1105.70403717,573.681134971,1105.98059474,579.396658041,1094.0578907,663.10141527,1033.58396918,661.011869201,1065.14226054,668.786209722,1028.48301848,572.359804368,1016.92905787,573.00510536,1088.18872454,608.865403336,1041.81923898,602.781136841,1113.53983493,562.157902973,1016.59104306,556.718937471,1131.39316237,618.514189595,998.491886672,613.198138567,1062.1001273,653.268257299,1062.13085592,661.011869201
