time,iris_delta,dental_show_delta,pfissure_r_delta,pfissure_l_delta,Oral commisure (L) x,Oral commisure (L) y,Oral commisure (R) x,Oral commisure (R) y,Lateral canthus (L) x,Lateral canthus (L) y,Lateral canthus (R) x,Lateral canthus (R) y,Palpebral fissure (RU) x,Palpebral fissure (RU) y,Palpebral fissure (RL) x,Palpebral fissure (RL) y,Palpebral fissure (LU) x,Palpebral fissure (LU) y,Palpebral fissure (LL) x,Palpebral fissure (LL) y,Depressor (L) x,Depressor (L) y,Depressor (R) x,Depressor (R) y,Depressor (M) x,Depressor (M) y,Iris (M) x,Iris (M) y,Iris (L) x,Iris (L) y,Nasal ala (L) x,Nasal ala (L) y,Nasal ala (R) x,Nasal ala (R) y,Medial brow (L) x,Medial brow (L) y,Medial brow (R) x,Medial brow (R) y,Malar eminence (L) x,Malar eminence (L) y,Malar eminence (R) x,Malar eminence (R) y,Dental show (Top) x,Dental show (Top) y,Dental show (Bottom) x,Dental show (Bottom) y
28.732,14.801752205476719,0.0,11.47457129299994,9.638639884999975,1100.45729876,654.161206719,1042.62545944,656.915103829,1122.48847564,573.380224822,1011.41462553,574.757173377,1028.85597389,569.249379156,1028.85597389,580.723950449,1106.88305868,568.331413453,1106.88305868,577.970053338,1088.52374461,657.374086681,1056.39494499,658.751035236,1073.37731051,662.422898049,1036.65868237,572.462259118,1021.97123112,574.298190525,1091.73662457,609.180887253,1049.51020222,608.721904402,1116.52169856,559.151756419,1024.72512823,559.151756419,1116.98068142,611.934784364,1024.72512823,614.229698622,1072.00036195,655.079172422,1072.00036195,655.079172422
28.763,14.948248602080955,0.0,11.171169480127189,9.71471216856474,1100.85878647,652.197584464,1041.76600068,655.207128799,1122.11847013,573.228279862,1011.80459723,574.615690736,1028.83078228,569.300769823,1028.71342098,580.471322803,1106.90304582,568.336708809,1107.1377684,578.048584932,1088.79543846,656.686730296,1055.52274814,658.89567022,1073.29919625,662.986636863,1036.73189766,572.38158014,1021.8937279,574.192340876,1091.87624878,608.714156142,1049.40722281,607.586638524,1116.26283806,558.226653496,1024.08174319,558.81345996,1118.56396861,610.784810135,1021.49979475,613.018920731,1072.14650796,654.804703578,1072.14650796,654.804703578
28.798000000000002,15.094870103687585,0.0,10.869069434887578,9.79636681045736,1101.26027419,650.233962209,1040.90654192,653.499153769,1121.74846462,573.076334902,1012.19456893,574.474208096,1028.80559066,569.35216049,1028.57086808,580.218695158,1106.92303295,568.342004165,1107.39247812,578.127116526,1089.06713231,655.99937391,1054.65055128,659.040305205,1073.221082,663.550375676,1036.80511296,572.300901163,1021.81622469,574.086491227,1092.01587298,608.247425031,1049.30424341,606.451372647,1116.00397756,557.301550573,1023.43835815,558.475163501,1120.1472558,609.634835905,1018.27446126,611.808142839,1072.29265398,654.530234734,1072.29265398,654.530234734
28.829,15.241613090023083,0.0,10.568382792577445,9.883465451918278,1101.66176191,648.270339954,1040.04708316,651.791178739,1121.37845911,572.924389942,1012.58454063,574.332725456,1028.78039905,569.403551156,1028.42831517,579.966067513,1106.94302009,568.34729952,1107.64718784,578.20564812,1089.33882616,655.312017525,1053.77835442,659.184940189,1073.14296775,664.114114489,1036.87832825,572.220222185,1021.73872148,573.980641577,1092.15549719,607.780693919,1049.201264,605.316106769,1115.74511705,556.376447649,1022.79497311,558.136867042,1121.73054299,608.484861676,1015.04912778,610.597364948,1072.43879999,654.255765889,1072.43879999,654.255765889
28.862,15.021701075976123,1.2354331815789197,9.861884522724838,9.350545118668512,1102.56162607,647.107050019,1039.09850696,650.451846865,1121.66217649,573.081414551,1012.25211122,574.577771035,1028.2719277,569.648596735,1028.00786479,579.506945335,1106.87465359,568.41630316,1107.49080037,577.746525942,1090.67879517,655.381021165,1052.74175726,658.813838981,1073.69074803,664.095097159,1036.80996175,572.465267764,1021.84639691,573.785582308,1092.17515166,607.057508832,1048.95685556,604.856984591,1115.94081346,556.533472259,1023.25473243,558.205870682,1122.63040715,608.113760468,1016.03701292,609.874179861,1072.19439155,653.092475954,1072.28241252,654.324769529
28.897,14.813696453855018,2.470866363157742,9.15587339749673,8.817926504277908,1103.46149024,645.943760084,1038.14993077,649.112514991,1121.94589386,573.238439161,1011.91968181,574.822816614,1027.76345635,569.893642314,1027.58741441,579.047823157,1106.80628709,568.4853068,1107.3344129,577.287403764,1092.01876419,655.450024805,1051.70516009,658.442737773,1074.23852832,664.07607983,1036.74159525,572.710313343,1021.95407235,573.590523039,1092.19480613,606.334323745,1048.71244712,604.397862413,1116.13650987,556.690496868,1023.71449175,558.274874322,1123.53027132,607.74265926,1017.02489805,609.150994774,1071.94998311,651.929186019,1072.12602505,654.393773169
28.929,14.618107542417116,3.7062995447365483,8.450471516118567,8.285667794151061,1104.3613544,644.780470148,1037.20135457,647.773183116,1122.22961124,573.39546377,1011.5872524,575.067862193,1027.254985,570.138687893,1027.16696403,578.588700979,1106.73792059,568.55431044,1107.17802543,576.828281586,1093.3587332,655.519028445,1050.66856292,658.071636564,1074.78630861,664.0570625,1036.67322875,572.955358922,1022.06174779,573.39546377,1092.21446059,605.611138659,1048.46803868,603.938740235,1116.33220628,556.847521478,1024.17425106,558.343877962,1124.43013548,607.371558051,1018.01278319,608.427809687,1071.70557467,650.765896084,1071.96963758,654.462776809
28.963,14.43543901999999,4.941732726315371,7.745845327999973,7.753843105444865,1105.26121857,643.617180213,1036.25277837,646.433851242,1122.51332862,573.55248838,1011.25482299,575.312907772,1026.74651365,570.383733473,1026.74651365,578.129578801,1106.66955408,568.62331408,1107.02163796,576.369159408,1094.69870221,655.588032084,1049.63196576,657.700535356,1075.33408889,664.03804517,1036.60486225,573.200404501,1022.16942323,573.200404501,1092.23411506,604.887953572,1048.22363024,603.479618057,1116.52790268,557.004546087,1024.63401038,558.412881602,1125.32999965,607.000456843,1019.00066832,607.7046246,1071.46116623,649.602606149,1071.81325011,654.531780449
28.996,14.436512406560682,5.029533917355759,7.745970357749917,7.797808451474442,1105.59728973,642.843381751,1035.62061887,645.704063264,1122.14523202,573.130773796,1011.15078931,574.979214159,1026.86253239,570.138060828,1026.90654287,577.883906157,1106.60953088,568.465662405,1106.96161476,576.255518218,1095.03477338,655.078296531,1048.82376431,657.014757863,1075.18604472,663.616330586,1036.41280759,573.042752826,1021.97736857,573.218794766,1092.13008138,604.466238988,1048.03157559,603.277955898,1116.15980609,556.802883928,1024.35393475,558.079187988,1125.62206033,606.446710805,1018.06043542,607.062857592,1071.489164,649.268912535,1071.84124788,654.286107804
29.031,14.43973208744836,5.11734266055199,7.746345431005548,7.841774303912074,1105.93336089,642.069583289,1034.98845936,644.974275287,1121.77713543,572.709059212,1011.04675562,574.645520545,1026.97855113,569.892388184,1027.0665721,577.638233512,1106.54950768,568.30801073,1106.90159156,576.141877028,1095.37084454,654.568560978,1048.01556287,656.328980371,1075.03800055,663.194616003,1036.22075294,572.885101152,1021.78531392,573.23718503,1092.02604769,604.044524404,1047.83952093,603.076293738,1115.79170949,556.601221768,1024.07385913,557.745494374,1125.914121,605.892964767,1017.12020253,606.421090585,1071.51716176,648.935218921,1071.86924564,654.04043516
29.062,14.445096627568113,5.205158572752434,7.746970514448245,7.885740654287765,1106.26943206,641.295784827,1034.35629986,644.24448731,1121.40903883,572.287344629,1010.94272194,574.311826931,1027.09456986,569.64671554,1027.22660132,577.392560868,1106.48948448,568.150359056,1106.84156836,576.028235839,1095.7069157,654.058825425,1047.20736143,655.643202878,1074.88995638,662.772901419,1036.02869828,572.727449477,1021.59325926,573.255575295,1091.922014,603.622809821,1047.64746628,602.874631579,1115.4236129,556.399559609,1023.7937835,557.41180076,1126.20618168,605.339218729,1016.17996963,605.779323577,1071.54515953,648.601525307,1071.89724341,653.794762516
29.098,14.452603638498667,5.2929812971340136,7.747845547339564,7.92970749431893,1106.60550322,640.521986365,1033.72414036,643.514699333,1121.04094224,571.865630045,1010.83868825,573.978133317,1027.2105886,569.401042895,1027.38663054,577.146888224,1106.42946128,567.992707381,1106.78154516,575.914594649,1096.04298686,653.549089872,1046.39915998,654.957425386,1074.74191221,662.351186836,1035.83664363,572.569797802,1021.40120461,573.27396556,1091.81798032,603.201095237,1047.45541162,602.672969419,1115.0555163,556.197897449,1023.51370788,557.078107146,1126.49824236,604.785472691,1015.23973673,605.137556569,1071.5731573,648.267831693,1071.92524118,653.549089872
29.131,14.462249783801754,5.380810499144399,7.748970442119835,7.973674815905466,1106.94157438,639.748187903,1033.09198085,642.784911355,1120.67284564,571.443915462,1010.73465456,573.644439703,1027.32660734,569.155370251,1027.54665976,576.901215579,1106.36943808,567.835055706,1106.72152196,575.800953459,1096.37905802,653.039354318,1045.59095854,654.271647893,1074.59386804,661.929472252,1035.64458897,572.412146128,1021.20914995,573.292355824,1091.71394663,602.779380654,1047.26335696,602.47130726,1114.68741971,555.99623529,1023.23363225,556.744413532,1126.79030303,604.231726653,1014.29950383,604.495789562,1071.60115507,647.934138079,1071.95323895,653.303417227
29.164,14.474030796823664,5.468645868629551,7.750345093332078,8.017642609687364,1107.27764554,638.97438944,1032.45982135,642.055123378,1120.30474905,571.022200878,1010.63062088,573.310746089,1027.44262608,568.909697607,1027.70668899,576.655542935,1106.30941488,567.677404032,1106.66149875,575.687312269,1096.71512918,652.529618765,1044.7827571,653.585870401,1074.44582387,661.507757668,1035.45253432,572.254494453,1021.01709529,573.310746089,1091.60991295,602.35766607,1047.07130231,602.2696451,1114.31932311,555.79457313,1022.95355663,556.410719918,1127.08236371,603.677980615,1013.35927094,603.854022554,1071.62915284,647.600444465,1071.98123672,653.057744583
29.197,14.48794143952576,5.556487111523986,7.751969367484414,8.061610871230199,1107.6137167,638.200590978,1031.82766184,641.325335401,1119.93665245,570.600486295,1010.52658719,572.977052475,1027.55864482,568.664024962,1027.86671821,576.409870291,1106.24939167,567.519752357,1106.60147555,575.573671079,1097.05120035,652.019883212,1043.97455565,652.900092908,1074.29777969,661.086043085,1035.26047966,572.096842778,1020.82504064,573.329136353,1091.50587926,601.935951487,1046.87924765,602.067982941,1113.95122652,555.592910971,1022.673481,556.077026304,1127.37442439,603.124234577,1012.41903804,603.212255546,1071.65715061,647.266750851,1072.00923448,652.812071939
29.231,14.503975614297339,5.644333954482266,7.753843106443926,8.105579589637234,1107.94978787,637.426792516,1031.19550234,640.595547423,1119.56855586,570.178771711,1010.4225535,572.643358861,1027.67466355,568.418352318,1028.02674743,576.164197647,1106.18936847,567.362100683,1106.54145235,575.460029889,1097.38727151,651.510147659,1043.16635421,652.214315416,1074.14973552,660.664328501,1035.068425,571.939191104,1020.63298598,573.347526618,1091.40184557,601.514236903,1046.687193,601.866320782,1113.58312992,555.391248811,1022.39340538,555.74333269,1127.66648506,602.570488539,1011.47880514,602.570488539,1071.68514837,646.933057237,1072.03723225,652.566399294
