time,iris_delta,dental_show_delta,pfissure_r_delta,pfissure_l_delta,Oral commisure (L) x,Oral commisure (L) y,Oral commisure (R) x,Oral commisure (R) y,Lateral canthus (L) x,Lateral canthus (L) y,Lateral canthus (R) x,Lateral canthus (R) y,Palpebral fissure (RU) x,Palpebral fissure (RU) y,Palpebral fissure (RL) x,Palpebral fissure (RL) y,Palpebral fissure (LU) x,Palpebral fissure (LU) y,Palpebral fissure (LL) x,Palpebral fissure (LL) y,Depressor (L) x,Depressor (L) y,Depressor (R) x,Depressor (R) y,Depressor (M) x,Depressor (M) y,Iris (M) x,Iris (M) y,Iris (L) x,Iris (L) y,Nasal ala (L) x,Nasal ala (L) y,Nasal ala (R) x,Nasal ala (R) y,Medial brow (L) x,Medial brow (L) y,Medial brow (R) x,Medial brow (R) y,Malar eminence (L) x,Malar eminence (L) y,Malar eminence (R) x,Malar eminence (R) y,Dental show (Top) x,Dental show (Top) y,Dental show (Bottom) x,Dental show (Bottom) y
26.884,13.772381908465778,0.0,8.026924652999924,8.60027641299996,1147.81760247,644.512510111,1074.42857708,638.205640742,1175.33848699,557.36304246,1060.09478306,551.05617309,1079.58874293,547.042710764,1079.58874293,555.069635417,1162.15139649,551.629524851,1162.15139649,560.229801264,1138.07062254,650.24602772,1093.92253695,647.952620677,1116.85660739,653.686138285,1086.46896406,549.909469569,1072.7085218,550.48282133,1143.23078839,596.350962199,1095.06924047,595.204258677,1169.60496939,536.149027308,1071.56181828,533.855620265,1165.0181553,600.937776286,1064.68159715,593.484203394,1116.85660739,645.659213633,1116.85660739,645.659213633
26.917,13.874402541668411,1.6169918547257418,8.022279990000015,8.481732107743612,1148.08773091,642.862000168,1074.05513945,637.016134538,1175.82136805,557.020684774,1060.07265524,550.831803372,1079.44099663,547.163679149,1079.44099663,555.185959139,1161.84153794,551.633500553,1161.95587653,560.114461951,1138.80374528,649.735586067,1092.62311071,648.015199023,1116.91597376,655.460477874,1086.43157521,550.028779145,1072.56475664,550.487460554,1142.58886219,595.871706134,1095.14121379,594.496988954,1169.74815229,536.619314934,1071.99040959,533.641203394,1166.87907115,600.455866129,1063.51342933,593.235283319,1116.57295799,644.465394529,1116.80163517,646.066134797
26.953,13.977428903811555,3.233983710441455,8.017635327999983,8.364772770596504,1148.35785934,641.211490225,1073.68170183,635.826628335,1176.30424911,556.678327087,1060.05052743,550.607433654,1079.29325033,547.284647533,1079.29325033,555.302282861,1161.53167938,551.637476254,1161.76035656,559.999122638,1139.53686802,649.225144414,1091.32368446,648.077777369,1116.97534014,657.234817464,1086.39418636,550.148088722,1072.42099148,550.492099778,1141.94693599,595.39245007,1095.21318711,593.789719232,1169.89133519,537.089602561,1072.41900091,533.426786523,1168.73998701,599.973955971,1062.34526152,592.986363244,1116.2893086,643.271575425,1116.74666296,646.473055962
26.987,14.081438929840838,4.850975566581363,8.012990665000075,8.249465814909142,1148.62798777,639.560980282,1073.3082642,634.637122131,1176.78713017,556.335969401,1060.02839961,550.383063935,1079.14550403,547.405615918,1079.14550403,555.418606583,1161.22182082,551.641451955,1161.56483659,559.883783325,1140.26999077,648.714702761,1090.02425821,648.140355715,1117.03470652,659.009157053,1086.35679751,550.267398298,1072.27722631,550.496739003,1141.30500979,594.913194005,1095.28516043,593.082449509,1170.03451809,537.559890187,1072.84759222,533.212369652,1170.60090286,599.492045814,1061.1770937,592.737443168,1116.0056592,642.077756321,1116.69169075,646.879977126
27.017,14.18641096423275,6.467967419892937,8.008346004000032,8.135881496829608,1148.89811621,637.910470338,1072.93482657,633.447615928,1177.27001123,555.993611714,1060.00627179,550.158694217,1078.99775773,547.526584302,1078.99775773,555.534930306,1160.91196226,551.645427656,1161.36931662,559.768444012,1141.00311351,648.204261107,1088.72483197,648.202934061,1117.0940729,660.783496642,1086.31940866,550.386707875,1072.13346115,550.501378227,1140.66308359,594.433937941,1095.35713374,592.375179787,1170.177701,538.030177813,1073.27618353,532.997952781,1172.46181872,599.010135657,1060.00892589,592.488523093,1115.72200981,640.883937217,1116.63671853,647.28689829
27.051,14.292323820000092,8.084959276032992,8.00370134100001,8.024092970611209,1149.16824464,636.259960395,1072.56138894,632.258109724,1177.75289229,555.651254028,1059.98414398,549.934324499,1078.85001143,547.647552687,1078.85001143,555.651254028,1160.6021037,551.649403357,1161.17379665,559.653104699,1141.73623625,647.693819454,1087.42540572,648.265512407,1117.15343927,662.557836231,1086.28201981,550.506017451,1071.98969599,550.506017451,1140.02115739,593.954681876,1095.42910706,591.667910064,1170.3208839,538.500465439,1073.70477485,532.78353591,1174.32273457,598.5282255,1058.84075807,592.239603017,1115.43836041,639.690118113,1116.58174632,647.693819454
27.086,14.678764123062788,10.413793658150631,7.981713151000008,7.325046460910546,1151.0699443,635.376082071,1071.95643488,630.505697876,1178.22535956,555.789826562,1059.77497735,549.413251317,1079.20154365,547.038526744,1079.20154365,555.020239895,1161.73421669,551.798969987,1161.9431045,559.121037423,1143.187178,647.359645893,1086.62255795,648.008297512,1117.2740955,663.455001337,1087.1942509,549.73208008,1072.51713374,549.951961985,1141.02134124,593.092791743,1095.81362157,590.278303359,1171.55194375,537.759510353,1074.13326574,531.932639871,1175.98256413,598.062122795,1057.81802839,590.707073073,1116.64743207,638.828227979,1117.17514864,649.228642085
27.118,15.068329032024625,12.797429109585607,7.959724960000017,6.642217100780501,1152.97164395,634.492203747,1071.35148082,628.753286027,1178.69782684,555.928399096,1059.56581072,548.892178136,1079.55307588,546.429500801,1079.55307588,554.389225761,1162.86632968,551.948536616,1162.71241234,558.588970146,1144.63811975,647.025472331,1085.81971017,647.751082617,1117.39475173,664.352166443,1088.10648198,548.958142708,1073.04457149,549.397906518,1142.02152508,592.230901609,1096.19813609,588.888696653,1172.78300359,537.018555267,1074.56175664,531.081743833,1177.64239369,597.59602009,1056.79529871,589.17454313,1117.85650373,637.966337845,1117.76855097,650.763464715
27.151,15.460782376097901,15.210123170745398,7.937736770000015,5.981161684174626,1154.87334361,633.608325422,1070.74652676,627.000874178,1179.17029411,556.06697163,1059.35664409,548.371104955,1079.90460811,545.820474858,1079.90460811,553.758211628,1163.99844267,552.098103245,1163.48172019,558.05690287,1146.08906151,646.691298769,1085.0168624,647.493867722,1117.51540795,665.24933155,1089.01871307,548.184205336,1073.57200924,548.843851051,1143.02170893,591.369011475,1096.5826506,587.499089947,1174.01406344,536.277600181,1074.99024753,530.230847794,1179.30222325,597.129917386,1055.77256903,587.642013186,1119.06557538,637.104447712,1118.36195329,652.298287346
27.218,15.855909660484059,17.639956450604966,7.915748579000024,5.349957651298357,1156.77504327,632.724447098,1070.1415727,625.248462329,1179.64276139,556.205544164,1059.14747745,547.850031774,1080.25614033,545.211448915,1080.25614033,553.127197494,1165.13055566,552.247669874,1164.25102804,557.524835594,1147.54000326,646.357125207,1084.21401462,647.236652827,1117.63606418,666.146496656,1089.93094415,547.410267964,1074.09944699,548.289795584,1144.02189278,590.507121341,1096.96716511,586.109483242,1175.24512329,535.536645095,1075.41873842,529.379951756,1180.96205282,596.663814681,1054.74983935,586.109483242,1120.27464704,636.242557578,1118.95535561,653.833109977
