time,iris_delta,dental_show_delta,pfissure_r_delta,pfissure_l_delta,Oral commisure (L) x,Oral commisure (L) y,Oral commisure (R) x,Oral commisure (R) y,Lateral canthus (L) x,Lateral canthus (L) y,Lateral canthus (R) x,Lateral canthus (R) y,Palpebral fissure (RU) x,Palpebral fissure (RU) y,Palpebral fissure (RL) x,Palpebral fissure (RL) y,Palpebral fissure (LU) x,Palpebral fissure (LU) y,Palpebral fissure (LL) x,Palpebral fissure (LL) y,Depressor (L) x,Depressor (L) y,Depressor (R) x,Depressor (R) y,Depressor (M) x,Depressor (M) y,Iris (M) x,Iris (M) y,Iris (L) x,Iris (L) y,Nasal ala (L) x,Nasal ala (L) y,Nasal ala (R) x,Nasal ala (R) y,Medial brow (L) x,Medial brow (L) y,Medial brow (R) x,Medial brow (R) y,Malar eminence (L) x,Malar eminence (L) y,Malar eminence (R) x,Malar eminence (R) y,Dental show (Top) x,Dental show (Top) y,Dental show (Bottom) x,Dental show (Bottom) y
27.697,14.658082812723089,0.0,10.29205392400449,11.686360115425707,1167.86780876,641.22872745,1108.69753693,641.568786484,1188.95146883,564.035326852,1085.91358169,564.375385885,1104.61682853,558.93444135,1105.97706467,569.136212354,1170.92834006,559.614559416,1172.62863523,571.176566555,1160.04645099,647.009731019,1119.91948504,648.710026187,1140.66308608,652.790734588,1112.4381863,563.355208785,1097.81564786,564.375385885,1158.00609679,599.741525366,1122.98001634,597.021053099,1178.4096388,547.032375178,1094.75511656,545.672139044,1189.97164593,611.983650572,1083.53316846,611.303532505,1140.66308608,643.609140685,1140.66308608,643.609140685
27.731,15.14435281371848,3.7337036592034347,10.89837385893585,10.951782382265833,1169.38190635,638.383295903,1107.584408,640.418251667,1188.40067387,564.013919419,1086.3591829,564.014410186,1105.03543755,558.750856673,1105.88509437,569.616059665,1169.72540075,559.769070705,1171.08416459,570.636236765,1160.89368123,647.885808926,1119.46831579,649.753189008,1140.18198004,653.319391956,1112.50643018,563.165244137,1097.39637847,564.183948936,1158.00857788,599.329509895,1122.18535269,598.138812511,1179.06082886,547.544122347,1096.54426782,544.999078034,1192.13199867,610.875812487,1084.15174378,610.535753454,1139.84290254,641.777506266,1140.01244129,645.50735876
27.763,15.630700398522205,7.4674073174080355,11.533620334623782,10.22306008485125,1170.89600395,635.537864356,1106.47127906,639.267716849,1187.84987891,563.992511987,1086.8047841,563.653434488,1105.45404657,558.567271997,1105.79312406,570.095906976,1168.52246145,559.923581994,1169.53969395,570.095906976,1161.74091146,648.761886832,1119.01714654,650.796351828,1139.700874,653.848049323,1112.57467405,562.975279489,1096.97710908,563.992511987,1158.01105897,598.917494423,1121.39068904,599.256571923,1179.71201893,548.055869516,1098.33341908,544.326017023,1194.2923514,609.767974403,1084.7703191,609.767974403,1139.022719,639.945871848,1139.3617965,647.405576835
27.797,15.507137712837695,7.735724504612731,11.168216345196724,10.125905602832592,1171.70132205,634.92784554,1104.46903548,638.352528284,1187.46842578,563.85042012,1086.17919516,563.75547842,1105.24213218,558.80494693,1105.60155432,569.967378209,1168.21560536,559.801834778,1169.20571166,569.879218059,1162.34956462,648.063707866,1117.32685425,650.572881362,1140.75032791,653.719520556,1112.61367701,563.036634122,1097.13817994,564.02674042,1157.66337795,598.306119297,1121.24645452,598.577381297,1178.88962941,548.054833889,1097.71447606,545.003136395,1195.50442688,608.885337278,1083.54103658,609.495676777,1139.01411548,639.266681222,1139.28537748,646.997648208
27.83,15.383598992022373,8.00481475155648,10.802904830365677,10.028782110058927,1172.50664016,634.317826724,1102.46679189,637.437339719,1187.08697264,563.708328254,1085.55360622,563.857522353,1105.03021779,559.042621862,1105.40998458,569.838849442,1167.90874927,559.680087561,1168.87172937,569.662529143,1162.95821778,647.365528901,1115.63656197,650.349410895,1141.79978182,653.590991789,1112.65267997,563.097988755,1097.2992508,564.060968853,1157.31569693,597.694744171,1121.10221999,597.898190671,1178.06723989,548.053798262,1097.09553304,545.680255766,1196.71650236,608.002700153,1082.31175407,609.22337915,1139.00551196,638.587490597,1139.20895846,646.589719582
27.864,15.260084818101674,8.27460263982729,10.437695499038645,9.931690512631462,1173.31195827,633.707807909,1100.4645483,636.522151153,1186.7055195,563.566236387,1084.92801728,563.959566286,1104.8183034,559.280296795,1105.21841485,569.710320676,1167.60189318,559.558340344,1168.53774708,569.445840226,1163.56687094,646.667349935,1113.94626968,650.125940429,1142.84923573,653.462463022,1112.69168293,563.159343388,1097.46032166,564.095197286,1156.96801591,597.083369045,1120.95798547,597.219000045,1177.24485037,548.052762635,1096.47659002,546.357375138,1197.92857783,607.120063027,1081.08247155,608.951081524,1138.99690844,637.908299971,1139.13253944,646.181790956
27.9,15.136595792041675,8.54502208889002,10.072599465265025,9.834631756227687,1174.11727638,633.097789093,1098.46230472,635.606962588,1186.32406636,563.42414452,1084.30242834,564.061610219,1104.60638901,559.517971727,1105.02684511,569.581791909,1167.29503709,559.436593127,1168.20376479,569.229151309,1164.1755241,645.969170969,1112.25597739,649.902469962,1143.89868963,653.333934256,1112.73068589,563.22069802,1097.62139252,564.129425719,1156.62033489,596.47199392,1120.81375095,596.539809419,1176.42246085,548.051727008,1095.857647,547.03449451,1199.14065331,606.237425902,1079.85318903,608.678783897,1138.98830492,637.229109345,1139.05612042,645.773862329
27.964,15.013132534273195,8.816014984000049,9.707629511531517,9.737606823863564,1174.92259449,632.487770277,1096.46006113,634.691774023,1185.94261322,563.282052653,1083.6768394,564.163654152,1104.39447462,559.75564666,1104.83527537,569.453263142,1166.988181,559.31484591,1167.8697825,569.012462393,1164.78417726,645.270992003,1110.5656851,649.678999495,1144.94814354,653.205405489,1112.76968885,563.282052653,1097.78246338,564.163654152,1156.27265387,595.860618794,1120.66951643,595.860618794,1175.60007133,548.050691381,1095.23870398,547.711613882,1200.35272879,605.354788776,1078.62390651,608.406486271,1138.9797014,636.549918719,1138.9797014,645.365933703
27.999,15.273550146407075,10.647249451981908,7.45970498600002,9.494169983000006,1174.77728445,632.174408232,1096.78945959,634.547950727,1190.71392692,564.019830856,1080.51373962,564.358908356,1104.24916458,559.950900864,1104.24916458,567.41060585,1167.99573446,559.611823364,1167.99573446,569.105993347,1164.94403697,643.363965711,1111.36979207,647.771973203,1140.53045701,651.840903196,1111.36979207,563.680753357,1096.1113046,564.358908356,1156.12802199,596.232193297,1120.86396205,597.249425796,1175.11636195,546.387800889,1094.0768396,545.37056839,1197.49547691,605.72636328,1082.88728212,603.691898284,1137.47875952,635.226105726,1139.17414702,645.737508207
28.033,15.36636488531475,10.511737311274725,7.751705088266559,9.204042002794635,1174.4272938,631.617754546,1096.0519518,633.942857399,1189.44358306,563.511616814,1080.79346433,563.947573599,1103.85073429,559.491126464,1103.99605322,567.241469307,1167.30666632,559.297367893,1167.4035456,568.500900019,1164.40028775,643.194829168,1110.58384463,647.457517732,1140.61642315,651.429568439,1110.82604285,563.2694186,1095.47067609,563.850694313,1155.58427277,595.772418898,1120.36865247,596.644332467,1174.52417309,546.170224703,1093.96904716,545.201431847,1196.8548484,604.927511381,1081.42317969,603.135244598,1136.98344994,634.911650255,1138.72727708,645.277733807
