time,iris_delta,dental_show_delta,pfissure_r_delta,pfissure_l_delta,Oral commisure (L) x,Oral commisure (L) y,Oral commisure (R) x,Oral commisure (R) y,Lateral canthus (L) x,Lateral canthus (L) y,Lateral canthus (R) x,Lateral canthus (R) y,Palpebral fissure (RU) x,Palpebral fissure (RU) y,Palpebral fissure (RL) x,Palpebral fissure (RL) y,Palpebral fissure (LU) x,Palpebral fissure (LU) y,Palpebral fissure (LL) x,Palpebral fissure (LL) y,Depressor (L) x,Depressor (L) y,Depressor (R) x,Depressor (R) y,Depressor (M) x,Depressor (M) y,Iris (M) x,Iris (M) y,Iris (L) x,Iris (L) y,Nasal ala (L) x,Nasal ala (L) y,Nasal ala (R) x,Nasal ala (R) y,Medial brow (L) x,Medial brow (L) y,Medial brow (R) x,Medial brow (R) y,Malar eminence (L) x,Malar eminence (L) y,Malar eminence (R) x,Malar eminence (R) y,Dental show (Top) x,Dental show (Top) y,Dental show (Bottom) x,Dental show (Bottom) y
28.815,15.519669700000009,17.611339855906223,6.761286759031531,8.324962987595308,1101.90746247,637.933747625,1024.24498308,637.677224158,1122.9423867,558.411473102,1001.73504892,563.157157227,1022.66637713,559.743421869,1022.86370287,566.501828574,1104.11257765,556.31488708,1105.46919214,564.528571142,1094.02084583,652.925570967,1036.11067333,655.041889563,1068.68915354,662.35280835,1030.72368054,563.014096063,1015.20401084,563.014096063,1083.82403805,593.92517374,1042.45962912,595.207791071,1113.46872843,541.270772416,1014.83052254,545.759933074,1122.81703552,598.939220876,1008.76275593,597.064626315,1065.64190142,636.381780654,1065.6172357,653.993103237
28.847,15.840324030000033,19.13219619228866,6.522362085493936,8.037106834108112,1102.62084921,637.483650717,1023.16270555,637.355388984,1123.01446477,558.217899661,1001.35821092,562.835322052,1022.59786061,559.781706176,1022.69652348,566.303321989,1104.17232286,556.496232551,1105.52400421,564.418861142,1094.63729629,653.284509606,1034.93145954,655.464959069,1068.72842621,663.160663055,1030.89121494,562.988249503,1015.05089091,562.988249503,1083.92744158,593.706934581,1042.37064006,594.797159312,1113.56401695,541.342602099,1014.19077266,545.831762758,1123.40070525,598.458538478,1008.01447689,596.623409066,1065.63359392,635.585377067,1065.39680302,654.716107874
28.882,16.160978370000066,20.655017975960583,6.284824921999984,7.749492821136503,1103.33423595,637.03355381,1022.08042803,637.03355381,1123.08654284,558.024326219,1000.98137293,562.513486878,1022.52934409,559.819990483,1022.52934409,566.104815405,1104.23206808,556.677578022,1105.57881628,564.309151141,1095.25374676,653.643448246,1033.75224574,655.888028575,1068.76769888,663.968517761,1031.05874934,562.962402944,1014.89777097,562.962402944,1084.03084511,593.488695422,1042.28165099,594.386527553,1113.65930546,541.414431783,1013.55102278,545.903592441,1123.98437498,597.97785608,1007.26619785,596.182191817,1065.62528641,634.78897348,1065.17637035,655.43911251
28.916,15.727558049161429,20.367651702871317,6.521802390166981,8.069832833352072,1103.5223465,637.047037926,1022.13534371,636.948375054,1123.31411855,558.12660692,1001.13988463,562.665099014,1022.56946034,559.813742024,1022.61879178,566.335357838,1104.1439226,556.577599835,1105.39694107,564.549559862,1095.31359559,653.651999219,1034.3596735,655.87191383,1068.86207971,663.686013262,1031.01500215,562.803227034,1015.28814042,562.951221342,1084.21402253,593.556444117,1042.55855813,594.326014516,1113.55636055,541.71897137,1014.380442,545.862811978,1123.93569464,598.538919134,1007.31618039,596.901115465,1065.77393182,635.123111929,1065.38914662,655.487128631
28.947,15.295609237744717,20.080454718278805,6.759126834702591,8.392798218345948,1103.71045706,637.060522042,1022.19025939,636.863196298,1123.54169426,558.22888762,1001.29839632,562.81671115,1022.60957659,559.807493566,1022.70823947,566.565900272,1104.05577711,556.477621649,1105.21506585,564.789968583,1095.37344441,653.660550191,1034.96710126,655.855799085,1068.95646054,663.403508763,1030.97125496,562.644051125,1015.67850986,562.94003974,1084.39719994,593.624192813,1042.83546528,594.265501478,1113.45341563,542.023510957,1015.20986122,545.822031515,1123.88701431,599.099982187,1007.36616293,597.620039113,1065.92257723,635.457250378,1065.6019229,655.535144752
28.983,14.865260191040909,19.79343439139246,6.996762947025372,8.718097206941048,1103.89856762,637.074006158,1022.24517507,636.778017543,1123.76926996,558.331168321,1001.45690802,562.968323287,1022.64969284,559.801245108,1022.79768715,566.796442705,1103.96763163,556.377643463,1105.03319064,565.030377303,1095.43329324,653.669101164,1035.57452903,655.839684339,1069.05084137,663.121004264,1030.92750777,562.484875216,1016.06887931,562.928858138,1084.58037736,593.691941508,1043.11237242,594.20498844,1113.35047072,542.328050545,1016.03928045,545.781251051,1123.83833397,599.661045241,1007.41614547,598.338962761,1066.07122264,635.791388827,1065.81469918,655.583160873
29.015,14.436653995073167,19.50659852134304,7.234680017298227,9.045478038090302,1104.08667818,637.087490274,1022.30009075,636.692838787,1123.99684567,558.433449021,1001.61541972,563.119935423,1022.6898091,559.79499665,1022.88713484,567.026985139,1103.87948615,556.277665276,1104.85131543,565.270786024,1095.49314206,653.677652136,1036.18195679,655.823569594,1069.1452222,662.838499766,1030.88376058,562.325699307,1016.45924875,562.917676536,1084.76355477,593.759690203,1043.38927956,594.144475403,1113.24752581,542.632590132,1016.86869967,545.740470588,1123.78965364,600.222108294,1007.466128,599.057886409,1066.21986805,636.125527275,1066.02747545,655.631176994
29.048,14.009950586920144,19.21995536427645,7.472851210649144,9.374722607397787,1104.27478874,637.10097439,1022.35500643,636.607660032,1124.22442138,558.535729722,1001.77393141,563.271547559,1022.72992535,559.788748191,1022.97658252,567.257527573,1103.79134067,556.17768709,1104.66944022,565.511194745,1095.55299089,653.686203108,1036.78938455,655.807454848,1069.23960303,662.555995267,1030.84001339,562.166523397,1016.8496182,562.906494934,1084.94673219,593.827438899,1043.6661867,594.083962365,1113.14458089,542.937129719,1017.69811889,545.699690124,1123.74097331,600.783171348,1007.51611054,599.776810057,1066.36851346,636.459665724,1066.24025173,655.679193115
29.081,13.58532928332716,18.933513674120853,7.711252977914262,9.705641247589323,1104.46289929,637.114458506,1022.40992211,636.522481276,1124.45199708,558.638010422,1001.93244311,563.423159696,1022.7700416,559.782499733,1023.06603021,567.488070006,1103.70319518,556.077708904,1104.48756501,565.751603466,1095.61283971,653.694754081,1037.39681231,655.791340103,1069.33398386,662.273490768,1030.7962662,562.007347488,1017.23998764,562.895313332,1085.1299096,593.895187594,1043.94309385,594.023449327,1113.04163598,543.241669307,1018.52753812,545.658909661,1123.69229297,601.344234401,1007.56609308,600.495733705,1066.51715887,636.793804173,1066.453028,655.727209236
29.114,13.162991563137592,18.647282734999976,7.949864578232239,10.038068395269754,1104.65100985,637.127942622,1022.4648378,636.437302521,1124.67957279,558.740291123,1002.09095481,563.574771832,1022.81015785,559.776251275,1023.1554779,567.71861244,1103.6150497,555.977730717,1104.3056898,565.992012187,1095.67268854,653.703305053,1038.00424008,655.775225357,1069.42836469,661.990986269,1030.75251901,561.848171579,1017.63035709,562.884131731,1085.31308702,593.96293629,1044.22000099,593.96293629,1112.93869107,543.546208894,1019.35695734,545.618129198,1123.64361264,601.905297455,1007.61607562,601.214657354,1066.66580428,637.127942622,1066.66580428,655.775225357
