time,iris_delta,dental_show_delta,pfissure_r_delta,pfissure_l_delta,Oral commisure (L) x,Oral commisure (L) y,Oral commisure (R) x,Oral commisure (R) y,Lateral canthus (L) x,Lateral canthus (L) y,Lateral canthus (R) x,Lateral canthus (R) y,Palpebral fissure (RU) x,Palpebral fissure (RU) y,Palpebral fissure (RL) x,Palpebral fissure (RL) y,Palpebral fissure (LU) x,Palpebral fissure (LU) y,Palpebral fissure (LL) x,Palpebral fissure (LL) y,Depressor (L) x,Depressor (L) y,Depressor (R) x,Depressor (R) y,Depressor (M) x,Depressor (M) y,Iris (M) x,Iris (M) y,Iris (L) x,Iris (L) y,Nasal ala (L) x,Nasal ala (L) y,Nasal ala (R) x,Nasal ala (R) y,Medial brow (L) x,Medial brow (L) y,Medial brow (R) x,Medial brow (R) y,Malar eminence (L) x,Malar eminence (L) y,Malar eminence (R) x,Malar eminence (R) y,Dental show (Top) x,Dental show (Top) y,Dental show (Bottom) x,Dental show (Bottom) y
175.576,12.705905379814121,12.622833463262726,3.4405474768333004,3.9358168363873514,1057.47400501,642.870245223,975.588356131,646.551925561,1076.72877,563.396731734,949.097184968,563.35441357,970.848721674,559.376506079,971.144948827,562.804277427,1056.71227805,560.307505704,1056.75459621,564.24309503,1048.46023591,654.930922191,991.119122611,657.808557397,1020.54652336,666.197319757,978.569883684,561.068356259,965.876687875,561.636521442,1037.04955594,585.102444629,994.900663801,586.245035078,1064.76795388,545.111778895,965.489539267,541.895598371,1087.04032954,601.352619911,951.703583274,598.73540418,1016.12159583,643.44617291,1017.51484002,655.991881151
175.615,12.777283826452555,12.678477440522162,3.4793664657416055,3.8095751196006007,1057.63297105,643.896934664,975.451095017,647.197751518,1077.18396319,564.846602823,949.213832843,564.423421175,971.050005878,560.530150014,971.303914867,564.000239527,1056.78660776,561.715058628,1056.87124409,565.52369346,1048.06906581,656.169202455,990.939543333,658.539019684,1020.7575733,667.035205078,978.780507933,562.222125396,966.014444752,562.757487741,1037.17611979,586.595134689,995.196500308,587.526134314,1065.5292902,546.562150791,965.489148621,543.515242925,1087.86026024,602.845309971,951.302797683,600.215073267,1016.33605125,644.584041435,1017.82044226,657.175323083
175.645,12.848762735357615,12.734693759721043,3.518775123999072,3.6838685571534096,1057.79193709,644.923624105,975.313833904,647.843577476,1077.63915638,566.296473912,949.330480718,565.492428781,971.251290083,561.683793949,971.462880907,565.196201627,1056.86093747,563.122611552,1056.98789196,566.804291889,1047.67789571,657.40748272,990.759964055,659.269481971,1020.96862323,667.873090399,978.991132183,563.375894532,966.152201629,563.87845404,1037.30268363,588.087824749,995.492336815,588.80723355,1066.29062652,548.012522686,965.488757974,545.13488748,1088.68019094,604.338000031,950.902012093,601.694742353,1016.55050667,645.721909959,1018.12604449,658.358765016
175.679,12.920340437111918,12.791474874269003,3.5587538622356525,3.558753862283217,1057.95090313,645.950313546,975.17657279,648.489403433,1078.09434958,567.746345001,949.447128594,566.561436386,971.452574288,562.837437884,971.621846947,566.392163727,1056.93526718,564.530164476,1057.10453984,568.084890319,1047.2867256,658.645762985,990.580384777,659.999944258,1021.17967317,668.71097572,979.201756432,564.529663669,966.289958506,564.999420339,1037.42924748,589.580514809,995.788173322,590.088332787,1067.05196284,549.462894581,965.488367327,546.754532034,1089.50012164,605.830690091,950.501226502,603.174411439,1016.76496209,646.859778484,1018.43164673,659.542206949
175.712,12.99201530088217,12.84881329720041,3.5992836841918256,3.434295719543936,1058.10986917,646.977002986,975.039311677,649.135229391,1078.54954277,569.196216089,949.563776469,567.630443992,971.653858493,563.991081819,971.780812988,567.588125827,1057.00959689,565.9377174,1057.22118771,569.365488748,1046.8955555,659.884043249,990.400805498,660.730406545,1021.3907231,669.54886104,979.412380682,565.683432806,966.427715383,566.120386638,1037.55581133,591.073204869,996.084009829,591.369432023,1067.81329916,550.913266477,965.487976681,548.374176589,1090.32005235,607.323380151,950.100440912,604.654080526,1016.97941751,647.997647008,1018.73724897,660.725648882
175.746,13.063785725438983,12.906701598969185,3.640346183348379,3.3105681806682754,1058.26883521,648.003692427,974.902050563,649.781055349,1079.00473596,570.646087178,949.680424344,568.699451597,971.855142698,565.144725754,971.939779028,568.784087927,1057.0839266,567.345270324,1057.33783559,570.646087178,1046.5043854,661.122323514,990.22122622,661.460868833,1021.60177304,670.386746361,979.623004931,566.837201943,966.56547226,567.241352937,1037.68237518,592.56589493,996.379846336,592.650531259,1068.57463548,552.363638372,965.487586034,549.993821144,1091.13998305,608.816070212,949.699655321,606.133749612,1017.19387293,649.135515533,1019.04285121,661.909090815
175.817,13.135650146393202,12.965132413561244,3.681923537813435,3.1876563174648687,1058.42780125,649.030381868,974.76478945,650.426881306,1079.45992916,572.095958267,949.79707222,569.768459203,972.056426903,566.298369689,972.098745068,569.980050027,1057.15825631,568.752823248,1057.45448346,571.926685607,1046.1132153,662.360603779,990.041646942,662.19133112,1021.81282297,671.224631682,979.833629181,567.99097108,966.703229137,568.362319236,1037.80893903,594.05858499,996.675682843,593.931630495,1069.3359718,553.814010268,965.487195387,551.613465698,1091.95991375,610.308760272,949.29886973,607.613418699,1017.40832835,650.273384058,1019.34845344,663.092532748
175.881,13.207607028445043,13.024098442161952,3.723998502000086,3.0656582444056855,1058.58676729,650.057071309,974.627528336,651.072707264,1079.91512235,573.545829355,949.913720095,570.837466808,972.257711108,567.452013625,972.257711108,571.176012127,1057.23258602,570.160376172,1057.57113134,573.207284037,1045.7220452,663.598884044,989.862067663,662.921793407,1022.02387291,672.062517003,980.044253431,569.144740216,966.840986014,569.483285535,1037.93550287,595.55127505,996.971519349,595.212729731,1070.09730812,555.264382163,965.48680474,553.233110253,1092.77984445,611.801450332,948.89808414,609.093087785,1017.62278377,651.411252582,1019.65405568,664.27597468
175.944,13.392208272972555,12.970533343185213,3.662444808000032,3.062412279384478,1058.27310119,650.6674471,974.498523317,651.744636749,1079.97077842,574.125428299,949.41539291,571.509396294,972.251813477,568.185496804,972.251813477,571.847941612,1057.13435785,570.739975116,1057.44212632,573.786882981,1045.90080865,664.086152446,990.040831116,663.778383975,1021.7717605,672.919107571,979.915248411,569.816669702,966.527319912,570.15521502,1037.8988284,596.223204535,996.750183789,595.915436064,1070.15296418,555.690096871,965.234692333,553.658824961,1092.37384781,612.134834499,948.984517051,609.54957934,1017.4630019,652.113958915,1019.34038958,664.947904166
175.977,13.57681114601036,12.9186526112005,3.6008911129999888,3.059472486450721,1057.95943509,651.277822891,974.369518298,652.416566234,1080.02643448,574.705027243,948.917065726,572.181325779,972.245915847,568.918979984,972.245915847,572.519871097,1057.03612968,571.31957406,1057.3131213,574.366481925,1046.0795721,664.573420849,990.219594568,664.634974543,1021.51964809,673.775698139,979.786243392,570.488599187,966.21365381,570.827144506,1037.86215392,596.895134021,996.528848228,596.618142396,1070.20862025,556.11581158,964.982579925,554.084539669,1091.96785116,612.468218666,949.070949961,610.006070896,1017.30322004,652.816665247,1019.02672348,665.619833651
176.012,13.761415580963432,12.868476621174933,3.539337420000038,3.0568397497561364,1057.64576899,651.888198682,974.240513279,653.08849572,1080.08209054,575.284626187,948.418738541,572.853255264,972.240018216,569.652463163,972.240018216,573.191800583,1056.9379015,571.899173004,1057.18411628,574.946080869,1046.25833555,665.060689252,990.39835802,665.491565111,1021.26753569,674.632288707,979.657238373,571.160528673,965.899987708,571.499073991,1037.82547944,597.567063506,996.307512668,597.320848729,1070.26427631,556.541526288,964.730467518,554.510254378,1091.56185452,612.801602833,949.157382872,610.462562451,1017.14343817,653.51937158,1018.71305738,666.291763137
176.047,13.946021514879362,12.820025385897454,3.4777837249999948,3.054514861558448,1057.33210289,652.498574473,974.11150826,653.760425205,1080.13774661,575.864225131,947.920411357,573.52518475,972.234120586,570.385946343,972.234120586,573.863730068,1056.83967333,572.478771948,1057.05511126,575.525679813,1046.437099,665.547957654,990.577121472,666.348155679,1021.01542328,675.488879276,979.528233354,571.832458158,965.586321607,572.171003476,1037.78880496,598.238992991,996.086177108,598.023555061,1070.31993237,556.967240996,964.47835511,554.935969086,1091.15585788,613.134987,949.243815783,610.919054007,1016.98365631,654.222077912,1018.39939127,666.963692622
176.112,14.130628890969808,12.77331853587218,3.416230030999941,3.052498526169264,1057.01843678,653.108950264,973.982503241,654.432354691,1080.19340267,576.443824075,947.422084172,574.197114235,972.228222955,571.119429523,972.228222955,574.535659554,1056.74144516,573.058370892,1056.92610624,576.105278757,1046.61586246,666.035226057,990.755884924,667.204746247,1020.76331087,676.345469844,979.399228335,572.504387643,965.272655505,572.842932962,1037.75213048,598.910922477,995.864841547,598.726261394,1070.37558844,557.392955705,964.226242702,555.361683795,1090.74986123,613.468371167,949.330248694,611.375545562,1016.82387444,654.924784245,1018.08572517,667.635622107
176.145,14.315237652408769,12.728375274739676,3.354676337000001,3.050791355376744,1056.70477068,653.719326055,973.853498222,655.104284176,1080.24905873,577.023423019,946.923756988,574.869043721,972.222325324,571.852912702,972.222325324,575.207589039,1056.64321699,573.637969836,1056.79710122,576.684877701,1046.79462591,666.522494459,990.934648377,668.061336816,1020.51119846,677.202060412,979.270223316,573.176317129,964.958989403,573.514862447,1037.71545601,599.582851962,995.643505987,599.428967726,1070.4312445,557.818670413,963.974130295,555.787398503,1090.34386459,613.801755334,949.416681605,611.832037118,1016.66409257,655.627490577,1017.77205907,668.307551593
