time,iris_delta,dental_show_delta,pfissure_r_delta,pfissure_l_delta,Oral commisure (L) x,Oral commisure (L) y,Oral commisure (R) x,Oral commisure (R) y,Lateral canthus (L) x,Lateral canthus (L) y,Lateral canthus (R) x,Lateral canthus (R) y,Palpebral fissure (RU) x,Palpebral fissure (RU) y,Palpebral fissure (RL) x,Palpebral fissure (RL) y,Palpebral fissure (LU) x,Palpebral fissure (LU) y,Palpebral fissure (LL) x,Palpebral fissure (LL) y,Depressor (L) x,Depressor (L) y,Depressor (R) x,Depressor (R) y,Depressor (M) x,Depressor (M) y,Iris (M) x,Iris (M) y,Iris (L) x,Iris (L) y,Nasal ala (L) x,Nasal ala (L) y,Nasal ala (R) x,Nasal ala (R) y,Medial brow (L) x,Medial brow (L) y,Medial brow (R) x,Medial brow (R) y,Malar eminence (L) x,Malar eminence (L) y,Malar eminence (R) x,Malar eminence (R) y,Dental show (Top) x,Dental show (Top) y,Dental show (Bottom) x,Dental show (Bottom) y
27.786,15.822125750418241,0.0,10.585863258961595,11.971995752386027,1170.78228632,612.832326767,1098.50826472,611.069545752,1208.68207814,514.997980447,1066.77820645,509.709637403,1088.81296913,504.421294358,1089.25366439,514.997980447,1190.61357274,506.184075373,1189.29148698,518.082847223,1161.52768599,622.086927094,1111.28842707,623.849708109,1138.17083755,634.426394198,1099.83035048,506.624770627,1084.4060166,510.150332656,1162.4090765,564.796544114,1112.16981758,559.50820107,1202.07164933,486.79348421,1083.08393084,483.708617435,1191.49496324,571.40697292,1078.23628305,564.796544114,1135.08597077,616.79858405,1135.08597077,616.79858405
27.818,16.125222919368902,0.0,10.734114914930478,12.023813708516428,1170.60613595,612.722968154,1098.0740457,610.887801269,1208.63411141,514.862597546,1067.01842838,509.650043057,1088.52990189,504.437488568,1089.11685756,515.155543711,1190.79403502,506.345891993,1189.61906034,518.312158353,1161.42923818,622.266048622,1111.21422339,623.808269342,1138.15689767,634.379851403,1099.8349127,506.566664956,1084.05183949,509.870816019,1161.94402065,564.56389321,1112.31489819,559.644284885,1202.10010917,486.891421673,1082.80362827,483.515097408,1191.30881748,571.537314704,1077.44566404,563.758291258,1135.36646574,616.90702105,1135.36646574,616.90702105
27.852,16.433544918498637,0.0,10.88414901343888,12.077578575028634,1170.42998557,612.61360954,1097.63982668,610.706056786,1208.58614469,514.727214646,1067.25865032,509.590448711,1088.24683464,504.453682777,1088.98005073,515.313106975,1190.97449729,506.507708614,1189.9466337,518.541469484,1161.33079037,622.445170149,1111.14001971,623.766830574,1138.1429578,634.333308608,1099.83947492,506.508559285,1083.69766238,509.591299383,1161.4789648,564.331242306,1112.45997879,559.7803687,1202.128569,486.989359136,1082.52332571,483.321577381,1191.12267172,571.667656488,1076.65504503,562.720038401,1135.6469607,617.01545805,1135.6469607,617.01545805
27.884,16.74680317989695,0.0,11.035892854305615,12.133264472615716,1170.25383519,612.504250927,1097.20560766,610.524312303,1208.53817796,514.591831746,1067.49887225,509.530854366,1087.9637674,504.469876986,1088.84324389,515.470670239,1191.15495957,506.669525234,1190.27420707,518.770780615,1161.23234256,622.624291676,1111.06581603,623.725391807,1138.12901792,634.286765814,1099.84403715,506.450453614,1083.34348527,509.311782746,1161.01390894,564.098591402,1112.6050594,559.916452516,1202.15702883,487.087296599,1082.24302314,483.128057354,1190.93652596,571.797998273,1075.86442603,561.681785544,1135.92745566,617.12389505,1135.92745566,617.12389505
27.918,17.06472584094925,0.0,11.189276880404435,12.190845075008175,1170.07768482,612.394892314,1096.77138864,610.34256782,1208.49021124,514.456448845,1067.73909418,509.47126002,1087.68070015,504.486071195,1088.70643706,515.628233503,1191.33542185,506.831341854,1190.60178043,519.000091745,1161.13389475,622.803413204,1110.99161235,623.68395304,1138.11507805,634.240223019,1099.84859937,506.392347943,1082.98930816,509.032266109,1160.54885309,563.865940498,1112.75014001,560.052536331,1202.18548867,487.185234062,1081.96272058,482.934537327,1190.75038019,571.928340057,1075.07380702,560.643532688,1136.20795063,617.23233205,1136.20795063,617.23233205
27.952,17.387057056822137,0.0,11.344234559364974,12.250293664603076,1169.90153444,612.285533701,1096.33716962,610.160823337,1208.44224451,514.321065945,1067.97931611,509.411665675,1087.39763291,504.502265405,1088.56963023,515.785796768,1191.51588413,506.993158475,1190.9293538,519.229402876,1161.03544694,622.982534731,1110.91740867,623.642514273,1138.10113817,634.193680224,1099.8531616,506.334242272,1082.63513105,508.752749472,1160.08379724,563.633289594,1112.89522062,560.188620146,1202.2139485,487.283171525,1081.68241802,482.7410173,1190.56423443,572.058681842,1074.28318802,559.605279831,1136.48844559,617.34076905,1136.48844559,617.34076905
27.986,17.713556134463676,0.0,11.500702284221012,12.311583182813123,1169.72538407,612.176175088,1095.9029506,609.979078854,1208.39427779,514.185683044,1068.21953805,509.352071329,1087.11456566,504.518459614,1088.4328234,515.943360032,1191.69634641,507.154975095,1191.25692716,519.458714006,1160.93699913,623.161656259,1110.84320499,623.601075505,1138.08719829,634.147137429,1099.85772382,506.276136601,1082.28095395,508.473232836,1159.61874139,563.40063869,1113.04030122,560.324703962,1202.24240833,487.381108988,1081.40211545,482.547497273,1190.37808867,572.189023626,1073.49256901,558.567026974,1136.76894055,617.44920605,1136.76894055,617.44920605
28.017,17.752271701483558,2.4900423990000036,11.258912412036016,11.948559081765092,1170.21508729,611.569599727,1096.02647112,609.518976575,1209.0304541,514.238236554,1068.05011241,509.111678674,1087.16484964,504.424540041,1088.26339776,515.629730835,1191.89310347,507.134292063,1191.38044768,519.071848269,1162.01259469,623.36068285,1110.08788702,623.580392474,1138.13748228,635.005292891,1100.27419051,506.108980487,1082.69742063,508.599022886,1160.10844462,562.574353705,1113.74971408,559.937838224,1202.65887502,487.213952874,1081.08621673,482.380341158,1192.18604964,571.289502101,1074.05550878,559.278709354,1136.81922454,615.890555654,1136.81922454,618.380598053
28.051,17.79572602498322,4.980084798000007,11.020578644059471,11.586196722775492,1170.70479052,610.963024366,1096.14999164,609.058874296,1209.66663041,514.290790063,1067.88068677,508.871286019,1087.21513363,504.330620468,1088.09397212,515.316101639,1192.08986054,507.113609031,1191.50396821,518.684982531,1163.08819025,623.559709442,1109.33256905,623.559709442,1138.18776626,635.863448353,1100.6906572,505.941824373,1083.11388732,508.724812936,1160.59814785,561.748068721,1114.45912693,559.550972487,1203.07534171,487.046796759,1080.77031801,482.213185044,1193.99401061,570.389980575,1074.61844855,559.990391733,1136.86950852,614.331905258,1136.86950852,619.311990056
28.119,17.843884484995215,7.470127197000011,10.785930089287298,11.224560196159542,1171.19449375,610.356449005,1096.27351217,608.598772018,1210.30280672,514.343343572,1067.71126112,508.630893363,1087.26541761,504.236700895,1087.92454648,515.002472443,1192.2866176,507.092926,1191.62748873,518.298116794,1164.1637858,623.758736033,1108.57725108,623.53902641,1138.23805024,636.721603815,1101.10712388,505.774668259,1083.53035401,508.850602987,1161.08785108,560.921783736,1115.16853978,559.164106749,1203.49180839,486.879640645,1080.45441928,482.04602893,1195.80197158,569.49045905,1075.18138832,560.702074113,1136.9197925,612.773254862,1136.9197925,620.243382059
